pmcid,pmid,citation_count,doi,publication_date,journal,volume,issue,pages,figure_count,table_count,reference_count,keyword_count,funding_sources
PMC6141014,29569488,8600,10.1080/21678421.2018.1452946,2018 Mar 23,Amyotrophic lateral sclerosis & frontotemporal degeneration,19,5-6,457,2,3,0,15,
PMC10719374,38092777,57,10.1038/s41526-023-00337-5,2023 Dec 13,NPJ Microgravity,9,,90,6,1,0,15,
PMC10607959,37895487,10,10.3390/life13102051,2023 Oct 13,Life,13,10,2051,1,0,0,0,
PMC10285634,37360691,30,10.1016/j.isci.2023.107047,2023 Jun 8,iScience,26,7,107047,5,1,0,0,
PMC3564669,23246792,8600,10.1016/j.bone.2012.11.034,2012 Dec 12,Bone,53,1,145,5,2,0,15,
PMC4096993,24737619,8600,10.1111/2049-632X.12180,2014 May 23,Pathogens and disease,71,1,1,1,2,0,15,
PMC5052530,27708389,8600,10.1038/srep34791,2016 Oct 6,Scientific Reports,6,,34791,5,4,0,15,
PMC9547011,36207342,21,10.1038/s41598-022-19360-9,2022 Oct 7,Scientific Reports,12,,16825,3,4,0,15,
PMC8260663,34230490,30,10.1038/s41526-021-00152-w,2021 Jul 6,NPJ Microgravity,7,,24,7,1,0,15,
PMC6379395,30793021,30,10.1038/s41526-019-0063-6,2019 Feb 18,NPJ Microgravity,5,,3,2,0,0,15,
PMC6597714,31249331,32,10.1038/s41598-019-45587-0,2019 Jun 27,Scientific Reports,9,,9336,8,1,0,15,
PMC10764921,38172193,0,10.1038/s41598-023-49680-3,2024 Jan 3,Scientific Reports,14,,410,9,2,0,15,ESA
PMC7937622,33692763,8600,10.3389/fmicb.2021.601713,2021 Feb 22,Frontiers in Microbiology,12,,601713,9,5,0,15,
PMC3748764,23805000,8600,10.1093/toxsci/kft138,2013 Jun 26,Toxicological Sciences,135,1,156,10,1,0,15,CMMI-1000808; CBET-1150867
PMC10774393,38191486,30,10.1038/s41526-023-00343-7,2024 Jan 8,NPJ Microgravity,10,,2,5,2,0,15,
PMC4405755,25565653,8600,10.1113/jphysiol.2014.286740,2015 Feb 4,The Journal of Physiology,593,Pt 8,1981,9,0,0,15,
PMC5515520,28725721,8600,10.1038/npjmgrav.2015.23,2016 Jan 21,NPJ Microgravity,2,,15023,5,0,0,15,
PMC11673879,39765755,2,10.3390/biology13121088,2024 Dec 23,Biology,13,12,1088,9,1,0,15,
PMC6371294,30815061,14,,2018 Dec 5,AMIA Annual Symposium Proceedings,2018,,232,4,2,0,15,
PMC3066201,21479267,100,10.1371/journal.pone.0017710,2011 Mar 29,PLoS ONE,6,3,e17710,5,2,0,0,
PMC7261848,32523594,1,10.3389/fpls.2020.00631,2020 May 25,Frontiers in Plant Science,11,,631,8,0,0,15,
PMC11892206,40065216,17,10.1186/s12864-025-11426-y,2025 Mar 10,BMC Genomics,26,,229,6,1,0,15,NASA
PMC9503880,36144316,3,10.3390/microorganisms10091714,2022 Aug 25,Microorganisms,10,9,1714,5,2,0,15,NASA
PMC3818365,23880584,8600,10.1016/j.tcb.2013.06.005,2013 Jul 21,Trends in cell biology,23,11,10.1016/j.tcb.2013.06.005,3,2,0,15,
PMC8444978,34528817,2,10.1128/MRA.00751-21,2021 Sep 16,Microbiology Resource Announcements,10,37,e00751-21,0,1,0,15,
PMC9267413,35806469,1,10.3390/ijms23137465,2022 Jul 5,International Journal of Molecular Sciences,23,13,7465,1,7,0,15,CA18117
PMC9582271,36277726,32,10.3389/fendo.2022.959743,2022 Oct 6,Frontiers in Endocrinology,13,,959743,7,0,0,15,AR060913
PMC4430214,25970640,8600,10.1371/journal.pone.0124380,2015 May 13,PLoS ONE,10,5,e0124380,8,4,0,15,
PMC7778922,33080015,2020,10.1093/nar/gkaa887,2020 Oct 20,Nucleic Acids Research,49,D1,D1515,4,0,0,15,NASA
PMC9953055,36830573,90,10.3390/biom13020201,2023 Jan 19,Biomolecules,13,2,201,7,3,0,15,NIH; NASA
PMC6548323,30870097,9,10.1667/RR15164.1,2019 Mar 14,Radiation research,191,5,413,6,3,0,15,
PMC6981245,31805482,131,10.1016/j.archoralbio.2019.104621,2019 Nov 18,Archives of oral biology,110,,104621,5,1,0,0,
PMC10308117,37396358,2018,10.3389/fmicb.2023.1166013,2023 Jun 15,Frontiers in Microbiology,14,,1166013,7,4,0,15,
PMC7251690,32460700,968,10.1186/s12870-020-02392-6,2020 May 27,BMC Plant Biology,20,,237,4,6,0,0,NASA
PMC10344948,37456835,2023,10.1016/j.isci.2023.107189,2023 Jun 20,iScience,26,7,107189,2,3,0,0,
PMC4936552,27261066,8600,10.1104/pp.16.00215,2016 Jun 3,Plant Physiology,171,3,1771,6,11,0,15,
PMC6143729,30246146,8600,10.1128/mSystems.00112-18,2018 Sep 18,mSystems,3,5,e00112-18,3,2,0,15,
PMC5666744,28953266,8600,10.3390/ijms18102062,2017 Sep 27,International Journal of Molecular Sciences,18,10,2062,9,3,0,15,
PMC6201722,30386712,8600,10.1002/aps3.1186,2018 Oct 19,Applications in Plant Sciences,6,10,e01186,13,5,0,0,
PMC8932657,35302846,1,10.1126/sciadv.abn0485,2022 Mar 18,Science Advances,8,11,eabn0485,6,0,0,15,
PMC5181587,27816929,8600,10.1093/jxb/erw418,2016 Nov 5,Journal of Experimental Botany,67,22,6459,9,0,0,15,
PMC10800490,38259952,1,10.3389/fpls.2023.1308713,2024 Jan 8,Frontiers in Plant Science,14,,1308713,8,4,0,0,NASA
PMC10797188,38261932,2023,10.1016/j.isci.2023.108759,2023 Dec 16,iScience,27,1,108759,10,3,0,0,
PMC11869762,40026331,16,10.2147/DDDT.S486371,2025 Feb 24,"Drug Design, Development and Therapy",19,,1289,6,0,0,0,
PMC3329368,22057319,1,10.4161/psb.6.11.17014,2011 Nov 1,Plant Signaling & Behavior,6,11,1855,2,0,0,15,
PMC8185232,34113365,70,10.3389/fpls.2021.664250,2021 May 25,Frontiers in Plant Science,12,,664250,5,0,0,15,
PMC6547757,31160660,1,10.1038/s41598-019-44696-0,2019 Jun 3,Scientific Reports,9,,8215,10,2,0,15,
PMC4050424,23099650,131,10.1096/fj.12-218503,2013 Jan,The FASEB Journal,27,1,399,5,4,0,15,
PMC5933128,29523714,8600,10.1104/pp.17.01766,2018 Mar 9,Plant Physiology,177,1,115,9,1,0,15,
PMC7595942,33122406,29,10.1128/MRA.00701-20,2020 Oct 29,Microbiology Resource Announcements,9,44,e00701-20,0,1,0,15,
PMC5996828,29900258,8600,10.1016/j.dib.2018.03.107,2018 Mar 26,Data in Brief,18,,913,6,2,0,15,
PMC9746133,36514162,2022,10.1186/s13059-022-02824-6,2022 Dec 13,Genome Biology,23,,256,3,2,0,15,
PMC8234954,34205326,2,10.3390/genes12060938,2021 Jun 19,Genes,12,6,938,8,9,0,15,NASA
PMC9258157,35791019,2022,10.1186/s40168-022-01279-y,2022 Jul 6,Microbiome,10,,102,8,4,0,0,
PMC5132293,27907194,8600,10.1371/journal.pone.0167391,2016 Dec 1,PLoS ONE,11,12,e0167391,7,1,0,0,NASA
PMC5477841,26285046,8600,10.1002/jor.23029,2015 Aug 31,Journal of orthopaedic research : official publication of the Orthopaedic Research Society,34,1,48,11,0,0,15,
PMC7825584,33430182,8600,10.3390/life11010033,2021 Jan 7,Life,11,1,33,1,1,0,15,NASA
PMC7503278,32887481,2,10.3390/ijms21176385,2020 Sep 2,International Journal of Molecular Sciences,21,17,6385,8,1,0,15,NASA
PMC6130020,30018170,8600,10.1104/pp.18.00713,2018 Jul 17,Plant Physiology,178,1,390,7,0,0,15,
PMC11339457,39168992,2024,10.1038/s41526-024-00425-0,2024 Aug 21,NPJ Microgravity,10,,88,1,2,0,15,
PMC2910419,20155736,7,10.1002/dneu.20787,2010 May,Developmental neurobiology,70,6,436,8,1,0,15,
PMC3554398,23051695,1,10.1038/ismej.2012.114,2012 Oct 11,The ISME Journal,7,2,312,3,3,0,15,
PMC11096397,38750067,245,10.1038/s41467-023-42104-w,2024 May 15,Nature Communications,15,,3474,5,1,0,15,
PMC4136787,25133741,8600,10.1371/journal.pone.0104830,2014 Aug 18,PLoS ONE,9,8,e104830,8,6,0,15,
PMC11593819,39596110,0,10.3390/ijms252212041,2024 Nov 9,International Journal of Molecular Sciences,25,22,12041,6,0,0,15,NIH; JAXA; NASA
PMC11167039,38862543,2,10.1038/s41526-023-00320-0,2024 Jun 11,NPJ Microgravity,10,,62,5,0,0,15,
PMC9365836,35948598,57,10.1038/s41526-022-00217-4,2022 Aug 10,NPJ Microgravity,8,,35,6,4,0,15,
PMC7064724,32194611,3,10.3389/fpls.2020.00239,2020 Mar 4,Frontiers in Plant Science,11,,239,13,0,0,15,
PMC4103452,25202579,8600,10.3732/apps.1300034,2013 Jul 29,Applications in Plant Sciences,1,8,apps.1300034,2,1,0,15,
PMC4309212,25667933,8600,10.1155/2015/976458,2015 Jan 13,BioMed Research International,2015,,976458,3,3,0,15,
PMC6560652,31258252,1,10.1007/s12217-017-9588-z,2017 Dec 29,Microgravity Science and Technology,30,3,195,4,5,0,15,
PMC6081456,30109261,8600,10.1038/s41526-018-0050-3,2018 Aug 7,NPJ Microgravity,4,,14,2,0,0,15,
PMC6240453,30473943,0,10.1002/aps3.1197,2018 Nov 14,Applications in Plant Sciences,6,11,e01197,3,3,0,0,
PMC4411250,25870206,8600,10.1085/jgp.201411295,2015 May,The Journal of General Physiology,145,5,389,1,0,0,0,
PMC8509868,34637435,57,10.1371/journal.pone.0250715,2021 Oct 12,PLoS ONE,16,10,e0250715,3,1,0,15,
PMC3630201,23637819,8600,10.1371/journal.pone.0061372,2013 Apr 18,PLoS ONE,8,4,e61372,6,3,0,15,NASA
PMC5899691,29524209,8600,10.1002/cne.24429,2018 Mar 23,The Journal of comparative neurology,526,9,1571,12,2,0,15,
PMC9832585,36336375,20,10.1016/j.lssr.2022.06.004,2022 Jun 14,Life sciences in space research,35,,9,1,1,0,15,
PMC7314936,32625217,135,10.3389/fpls.2020.00673,2020 Jun 18,Frontiers in Plant Science,11,,673,8,4,0,15,
PMC8671758,34925230,57,10.3389/fendo.2021.749449,2021 Dec 1,Frontiers in Endocrinology,12,,749449,7,0,0,15,
PMC10960378,38521963,2,10.1186/s40168-024-01777-1,2024 Mar 23,Microbiome,12,,62,7,2,0,0,
PMC11929063,40123744,754,10.1016/j.omtm.2025.101424,2025 Jan 28,Molecular Therapy. Methods & Clinical Development,33,1,101424,5,1,0,15,
PMC10058394,36983782,21,10.3390/life13030626,2023 Feb 23,Life,13,3,626,6,0,0,15,NASA
PMC6036641,29738279,8600,10.1667/RR15007.1,2018 May 8,Radiation research,190,1,63,7,0,0,15,
PMC6188462,21880668,22,10.1096/fj.11-0902ufm,2011 Sep,The FASEB Journal,25,9,2858,5,0,0,0,
PMC7829349,33505359,8600,10.3389/fmicb.2020.515319,2021 Jan 11,Frontiers in Microbiology,11,,515319,4,4,0,15,
PMC4896697,27173900,8600,10.1073/pnas.1601149113,2016 May 12,Proceedings of the National Academy of Sciences of the United States of America,113,22,E3058,2,0,0,0,
PMC11940681,40138271,37,10.1371/journal.pone.0317307,2025 Mar 26,PLOS One,20,3,e0317307,9,0,0,15,NASA
PMC11999716,40233938,455,10.1093/jambio/lxaf076,2025 Apr 16,Journal of Applied Microbiology,136,4,lxaf076,4,0,0,0,
PMC6915713,31844325,2020,10.1038/s41598-019-55869-2,2019 Dec 16,Scientific Reports,9,,19195,5,0,0,15,
PMC8169688,34075076,21,10.1038/s41598-021-90439-5,2021 Jun 1,Scientific Reports,11,,11452,5,0,0,15,
PMC3593973,23416054,8600,10.1016/j.celrep.2013.01.018,2013 Feb 14,Cell reports,3,2,520,5,0,0,0,
PMC11166968,38862473,2024,10.1038/s41467-023-44357-x,2024 Jun 11,Nature Communications,15,,4774,4,0,0,15,
PMC11357981,38862028,20180008444,10.1038/s41586-024-07639-y,2024 Jun 11,Nature,632,8027,1145,15,0,0,15,
PMC2913424,20140519,2009,10.1007/s10439-010-9946-0,2010 Mar,Annals of biomedical engineering,38,3,1148,0,0,0,15,
PMC8754149,35019675,16,10.1128/spectrum.01994-21,2022 Jan 12,Microbiology Spectrum,10,1,e01994-21,7,1,0,15,
PMC11063234,38699144,5,10.3389/fphys.2024.1248276,2024 Apr 18,Frontiers in Physiology,15,,1248276,7,3,0,15,NIH; NASA
PMC3570223,23420085,14,10.1016/j.asr.2012.02.021,2012 Feb 27,Advances in space research : the official journal of the Committee on Space Research (COSPAR),49,10,1441,3,6,0,15,
PMC8896891,35282036,3,10.1063/5.0078337,2022 Mar 3,Biomicrofluidics,16,2,024103,8,0,0,15,
PMC3040128,21269510,2,10.1186/1471-2229-11-25,2011 Jan 26,BMC Plant Biology,11,,25,10,2,0,0,
PMC5515519,28725722,8600,10.1038/npjmgrav.2016.2,2016 Mar 3,NPJ Microgravity,2,,16002,5,2,0,15,
PMC11166937,38862487,25,10.1038/s41467-023-42013-y,2024 Jun 11,Nature Communications,15,,4795,7,0,0,15,
PMC8518694,34250670,8600,10.1111/tpj.15417,2021 Aug 12,The Plant Journal,107,5,1283,6,0,0,0,
PMC11166655,38862517,2024,10.1038/s41526-023-00293-0,2024 Jun 11,NPJ Microgravity,10,,63,2,2,0,15,
PMC3647661,23622517,8600,10.3201/eid1903.121029,2013 Mar,Emerging Infectious Diseases,19,3,431,5,0,0,15,
PMC4427280,25962111,8600,10.1371/journal.pone.0126846,2015 May 11,PLoS ONE,10,5,e0126846,5,1,0,15,GM103532; NASA
PMC10712242,38089794,10,10.3389/fpls.2023.1260429,2023 Nov 27,Frontiers in Plant Science,14,,1260429,6,2,0,15,NASA
PMC7000411,32047838,11,10.1038/s41526-019-0091-2,2020 Feb 4,NPJ Microgravity,6,,4,4,2,0,15,
PMC5515531,28725743,8600,10.1038/npjmgrav.2016.38,2016 Dec 1,NPJ Microgravity,2,,16038,6,2,0,15,
PMC7072278,32045996,0,10.3390/cancers12020381,2020 Feb 7,Cancers,12,2,381,9,1,0,15,NIH; MD007602; NASA
PMC4453782,25883241,8600,10.1104/pp.15.00124,2015 Apr 16,Plant Physiology,168,2,393,5,0,0,15,
PMC10504369,37714858,20,10.1038/s41526-023-00303-1,2023 Sep 15,NPJ Microgravity,9,,76,6,0,0,15,
PMC7235020,32435691,14,10.1038/s41526-020-0105-0,2020 May 18,NPJ Microgravity,6,,15,4,0,0,15,
PMC6599637,30925135,1,10.1667/RR15216.1,2019 Mar 29,Radiation research,191,6,497,6,0,0,15,
PMC7076552,32265943,2020,10.3389/fpls.2020.00147,2020 Mar 4,Frontiers in Plant Science,11,,147,8,1,0,15,NASA
PMC5026643,26055450,8600,10.1016/j.exger.2015.06.007,2015 Jun 6,Experimental gerontology,69,,122,4,0,0,15,
PMC10772081,37938797,19,10.1038/s41431-023-01462-1,2023 Nov 8,European Journal of Human Genetics,32,1,10,4,0,0,15,NASA
PMC8213760,34145277,57,10.1038/s41526-021-00150-y,2021 Jun 18,NPJ Microgravity,7,,23,0,2,0,15,
PMC7599661,33049988,1979,10.3390/life10100235,2020 Oct 8,Life,10,10,235,5,1,0,15,NASA
PMC6462350,30771686,3,10.1016/j.jss.2019.01.038,2019 Feb 13,The Journal of surgical research,238,,164,3,3,0,0,
PMC8086211,33927037,8600,10.1128/MRA.00214-21,2021 Apr 29,Microbiology Resource Announcements,10,17,e00214-21,0,1,0,15,
PMC3665236,23628944,8600,10.3791/50020,2013 Apr 18,Journal of Visualized Experiments : JoVE,,74,50020,1,1,0,15,
PMC8274610,33902391,2015,10.1080/26896583.2021.1885283,2021-01-01,"Journal of environmental science and health. Part C, Toxicology and carcinogenesis",39,2,129,0,0,0,15,
PMC11500582,39464868,43,10.5511/plantbiotechnology.23.1214a,2024 Mar 25,Plant Biotechnology,41,1,35,5,0,0,15,
PMC11166981,38862620,2024,10.1038/s42003-023-05213-2,2024 Jun 11,Communications Biology,7,,692,10,0,0,15,
PMC11470607,39342744,15,10.1016/j.redox.2024.103370,2024 Sep 24,Redox Biology,77,,103370,9,1,0,15,SS2023012
PMC11167060,38862484,3,10.1038/s41467-024-49212-1,2024 Jun 11,Nature Communications,15,,4923,10,0,0,15,
PMC5515506,28725712,8600,10.1038/npjmgrav.2015.7,2015 Jul 30,NPJ Microgravity,1,,15007,5,2,0,0,
PMC3545801,23267097,0,10.1073/pnas.1209793110,2012 Dec 24,Proceedings of the National Academy of Sciences of the United States of America,110,2,666,5,3,0,15,
PMC9617909,36309570,16,10.1038/s41598-022-22691-2,2022 Oct 29,Scientific Reports,12,,18256,6,5,0,15,
PMC11263583,39039045,2024,10.1038/s41467-024-49423-6,2024 Jul 22,Nature Communications,15,,6158,3,0,0,15,
PMC11166952,38862516,4,10.1038/s41467-024-49211-2,2024 Jun 11,Nature Communications,15,,4954,5,2,0,15,
PMC7010715,32117357,2020,10.3389/fpls.2020.00005,2020 Feb 4,Frontiers in Plant Science,11,,5,6,0,0,15,
PMC3242767,22205979,1969,10.1371/journal.pone.0028906,2011 Dec 19,PLoS ONE,6,12,e28906,2,6,0,15,
PMC11477029,39408667,137,10.3390/ijms251910337,2024 Sep 26,International Journal of Molecular Sciences,25,19,10337,4,3,0,15,NASA
PMC10605753,37887314,1,10.3390/cells12202470,2023 Oct 17,Cells,12,20,2470,7,1,0,15,NASA
PMC7677455,33240227,25,10.3389/fmicb.2020.566412,2020 Nov 6,Frontiers in Microbiology,11,,566412,6,2,0,0,
PMC11930778,39566968,1,10.1247/csf.24035,2024 Nov 19,Cell Structure and Function,49,2,123,4,3,0,15,
PMC7467030,33254543,2019,10.1016/j.mehy.2020.110237,2020 Sep 2,Medical Hypotheses,144,,110237,1,1,0,15,
PMC3936501,23802883,8600,10.1089/ars.2012.5134,2014 Mar 20,Antioxidants & Redox Signaling,20,9,1410,8,0,0,15,
PMC9699585,36430810,1,10.3390/ijms232214320,2022 Nov 18,International Journal of Molecular Sciences,23,22,14320,10,0,0,15,NIH; NASA
PMC4682325,26410302,8600,10.1105/tpc.15.00531,2015 Sep 28,The Plant Cell,27,10,2800,6,1,0,15,
PMC4826010,26941089,8600,10.1105/tpc.15.00794,2016 Mar 3,The Plant Cell,28,3,746,12,0,0,15,
PMC8191917,34048506,8600,10.1371/journal.ppat.1009615,2021 May 28,PLoS Pathogens,17,5,e1009615,7,0,0,15,NSF; NIH; NASA
PMC6339989,28962911,8600,10.1016/j.spinee.2017.08.261,2017 Sep 28,The spine journal : official journal of the North American Spine Society,18,1,7,3,1,0,0,
PMC11166911,38862479,2024,10.1038/s41467-024-48916-8,2024 Jun 11,Nature Communications,15,,4778,5,0,0,15,
PMC8953707,35328027,1,10.3390/genes13030473,2022 Mar 8,Genes,13,3,473,6,7,0,15,NASA
PMC11166948,38862545,4,10.1038/s41467-024-49289-8,2024 Jun 11,Nature Communications,15,,4927,10,0,0,15,
PMC3430326,22685280,1,10.1128/JB.00576-12,2012 Sep,Journal of Bacteriology,194,18,4802,3,0,0,15,
PMC5470433,28649584,8600,10.1016/j.dib.2017.05.047,2017 May 31,Data in Brief,13,,253,4,2,0,15,
PMC9144607,35629329,1,10.3390/life12050660,2022 Apr 29,Life,12,5,660,10,12,0,15,NASA
PMC9737020,36499021,1,10.3390/ijms232314694,2022 Nov 24,International Journal of Molecular Sciences,23,23,14694,7,0,0,15,NASA
PMC6013642,29930033,8600,10.1128/genomeA.00476-18,2018 Jun 21,Genome Announcements,6,25,e00476-18,0,0,0,13,
PMC5659752,28889977,8600,10.1016/j.cub.2017.08.019,2017 Sep 7,Current biology : CB,27,18,2869,4,0,0,0,
PMC9701605,36452864,2022,10.1016/j.crmeth.2022.100325,2022 Oct 31,Cell Reports Methods,2,11,100325,2,3,0,0,
PMC6386654,30635418,2019,10.1073/pnas.1817322116,2019 Jan 11,Proceedings of the National Academy of Sciences of the United States of America,116,8,3030,4,0,0,15,
PMC12034070,40297099,2024,10.1016/j.asmr.2024.101022,2024 Oct 10,"Arthroscopy, Sports Medicine, and Rehabilitation",7,2,101022,2,1,0,15,
PMC5116466,27877191,8600,10.3389/fpls.2016.01753,2016 Nov 21,Frontiers in Plant Science,7,,1753,0,0,0,0,
PMC7756144,33376970,2020,10.1016/j.isci.2020.101747,2020 Nov 25,iScience,23,12,101747,9,0,0,0,
PMC3603133,23511048,8600,10.1038/srep01494,2013 Mar 20,Scientific Reports,3,,1494,7,1,0,15,
PMC11222149,38862604,750,10.1038/s41564-024-01635-8,2024 Jun 11,Nature Microbiology,9,7,1661,15,4,0,15,
PMC10848226,38365248,2024,10.1093/ismejo/wrad024,2024 Jan 10,The ISME Journal,18,1,wrad024,2,0,0,15,UCSD 2223669; NSF; NASA
PMC11386075,39256883,85,10.1186/s40168-024-01864-3,2024 Sep 10,Microbiome,12,,171,8,0,0,0,NASA
PMC4290804,25517942,8600,10.1089/ast.2014.1210,2015 Jan 1,Astrobiology,15,1,32,6,2,0,15,
PMC8364238,33881536,8600,10.1093/plcell/koab115,2021 Apr 20,The Plant Cell,33,7,2131,7,0,0,15,NSF; NASA
PMC5568470,28554658,8600,10.1016/j.taap.2017.05.030,2017 May 26,Toxicology and applied pharmacology,331,,101,6,0,0,15,
PMC4398884,25635000,8600,10.1152/japplphysiol.00576.2014,2015 Jan 29,Journal of Applied Physiology,118,8,980,8,5,0,15,
PMC5614317,28829425,8600,10.3791/56142,2017 Aug 15,Journal of Visualized Experiments : JoVE,,126,56142,5,1,0,15,
PMC10027818,36941263,15,10.1038/s41526-023-00247-6,2023 Mar 20,NPJ Microgravity,9,,21,8,2,0,15,
PMC3005423,20930114,1,10.1096/fj.10-170076,2011 Jan,The FASEB Journal,25,1,428,5,0,0,15,
PMC5498037,28678877,8600,10.1371/journal.pone.0180594,2017 Jul 5,PLoS ONE,12,7,e0180594,4,0,0,0,NIH; RE03701; GM109005; NASA
PMC5219934,27062511,8600,10.1111/cmi.12602,2016 May 3,Cellular microbiology,18,11,1642,6,1,0,0,
PMC10142442,37112839,18,10.3390/v15040859,2023 Mar 28,Viruses,15,4,859,4,1,0,15,NASA
PMC2925951,20808807,10,10.1371/journal.pone.0012348,2010 Aug 23,PLoS ONE,5,8,e12348,8,8,0,0,
PMC5771473,29191939,8600,10.1530/JOE-17-0524,2017 Nov 30,The Journal of endocrinology,236,2,57,6,0,0,15,
PMC7484075,32912916,26,10.1128/MRA.00817-20,2020 Sep 10,Microbiology Resource Announcements,9,37,e00817-20,0,1,0,15,
PMC10233975,37264385,46,10.1186/s40168-023-01545-7,2023 Jun 1,Microbiome,11,,125,4,6,0,0,
PMC5114340,27609032,3,,2016 Sep,Journal of Musculoskeletal & Neuronal Interactions,16,3,174,5,1,0,15,
PMC10926278,38465711,2024,10.14814/phy2.15978,2024 Mar 11,Physiological Reports,12,5,e15978,0,0,0,0,
PMC7890410,33659873,8600,10.1016/j.isci.2021.102105,2021 Jan 29,iScience,24,2,102105,7,0,0,0,
PMC7138367,31730829,131,10.1016/j.bone.2019.115152,2019 Nov 12,Bone,131,,115152,5,1,0,15,
PMC7998608,33806638,8600,10.3390/cells10030560,2021 Mar 4,Cells,10,3,560,9,2,0,15,
PMC11088941,33232584,16,10.1002/cpmc.129,2020 Dec,Current protocols in microbiology,59,1,e129,8,2,0,15,
PMC9108708,35577935,19,10.1038/s41431-022-01108-8,2022 May 16,European Journal of Human Genetics,30,8,889,4,0,0,15,NASA
PMC7530743,33004810,8600,10.1038/s41598-020-73002-6,2020 Oct 1,Scientific Reports,10,,16190,10,2,0,15,
PMC3982735,24596331,8600,10.1104/pp.113.233528,2014 Mar 4,Plant Physiology,164,4,1707,8,0,0,15,
PMC8220224,34179686,37,10.1093/pcmedi/pbab012,2021 May 17,Precision Clinical Medicine,4,2,93,5,2,0,15,
PMC8024390,29088549,8600,10.1089/ast.2016.1538,2017 Nov 1,Astrobiology,17,11,1077,7,11,0,15,
PMC4152162,24744382,8600,10.1152/japplphysiol.01174.2013,2014 Apr 17,Journal of Applied Physiology,116,12,1593,2,0,0,15,
PMC3067220,21169425,167,10.1128/AEM.01582-10,2010 Dec 17,Applied and Environmental Microbiology,77,4,1221,2,3,0,15,
PMC10261121,37308480,2021,10.1038/s41526-023-00292-1,2023 Jun 12,NPJ Microgravity,9,,43,2,0,0,15,
PMC4379453,25817711,2,10.1530/JOE-14-0514,2015 Apr,The Journal of endocrinology,225,1,47,7,4,0,15,
